URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://fhir.et/core/ValueSet/EthiopiaStateVS,0.9.0,active,,EthiopiaStateVS,Ethiopia State / Region ValueSet,"Allowed list of Ethiopian states and city administrations.","StructureDefinition/ETPatient","Internal"
http://fhir.et/core/ValueSet/chlamydia-trachomatis-test-type-vs,0.9.0,active,,ChlamydiaTrachomatisTestTypeVS,Chlamydia trachomatis Test Type Value Set,"Allowed values for Chlamydia trachomatis test types","StructureDefinition/chlamydia-trachomatis-test-type-observation","Internal"
http://fhir.et/core/ValueSet/community-entry-point-vs,0.9.0,active,,CommunityEntryPointValueSet,community Entry Point ValueSet,"ValueSet for community entry points","StructureDefinition/community-entry-point","Internal"
http://fhir.et/core/ValueSet/counselling-provided-vs,0.9.0,active,,CounsellingProvidedVS,Counselling Provided ValueSet,"","StructureDefinition/counselling-provided","Internal"
http://fhir.et/core/ValueSet/education-status-vs,0.9.0,active,,EducationStatusVS,Ethiopia Education Status ValueSet,"ValueSet containing all education status codes used in Ethiopia","StructureDefinition/ETPatient","Internal"
http://fhir.et/core/ValueSet/exposure-source-vs,0.9.0,active,,ExposureSourceVS,Source of Exposure ValueSet,"","StructureDefinition/exposure-source-observation","Internal"
http://fhir.et/core/ValueSet/facility-entry-point-vs,0.9.0,active,,FacilityEntryPointVS,Facility Entry Point ValueSet,"ValueSet for facility entry points","StructureDefinition/facility-entry-point","Internal"
http://fhir.et/core/ValueSet/follow-up-type-vs,0.9.0,active,,FollowUpTypeVS,Follow-Up Types,"","StructureDefinition/follow-up-type-observation","Internal"
http://fhir.et/core/ValueSet/gender-vs,0.9.0,active,,ETGenderVS,Ethiopian Patient Gender values,"Patient Gender....","StructureDefinition/ETPatient","hl7.fhir.r4.core"
http://fhir.et/core/ValueSet/gonorrhoea-specimen-type-vs,0.9.0,active,,GonorrhoeaSpecimenTypeVS,Gonorrhoea Specimen Type,"","StructureDefinition/gonorrhoea-testing-observation","Internal"
http://fhir.et/core/ValueSet/gonorrhoea-test-result-vs,0.9.0,active,,GonorrhoeaTestResultVS,Gonorrhoea Test Result,"","StructureDefinition/gonorrhoea-testing-observation","Internal"
