URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://fhir.et/core/ValueSet/EthiopiaStateVS,0.9.0,active,,EthiopiaStateVS,Ethiopia State / Region ValueSet,"Allowed list of Ethiopian states and city administrations.",,"Internal"
http://fhir.et/core/ValueSet/chlamydia-trachomatis-test-type-vs,0.9.0,active,,ChlamydiaTrachomatisTestTypeVS,Chlamydia trachomatis Test Type Value Set,"Allowed values for Chlamydia trachomatis test types",,"Internal"
http://fhir.et/core/ValueSet/community-entry-point-vs,0.9.0,active,,CommunityEntryPointValueSet,community Entry Point ValueSet,"ValueSet for community entry points",,"Internal"
http://fhir.et/core/ValueSet/counselling-provided-vs,0.9.0,active,,CounsellingProvidedVS,Counselling Provided ValueSet,"",,"Internal"
http://fhir.et/core/ValueSet/education-status-vs,0.9.0,active,,EducationStatusVS,Ethiopia Education Status ValueSet,"ValueSet containing all education status codes used in Ethiopia",,"Internal"
http://fhir.et/core/ValueSet/exposure-source-vs,0.9.0,active,,ExposureSourceVS,Source of Exposure ValueSet,"",,"Internal"
http://fhir.et/core/ValueSet/facility-entry-point-vs,0.9.0,active,,FacilityEntryPointVS,Facility Entry Point ValueSet,"ValueSet for facility entry points",,"Internal"
http://fhir.et/core/ValueSet/follow-up-type-vs,0.9.0,active,,FollowUpTypeVS,Follow-Up Types,"",,"Internal"
http://fhir.et/core/ValueSet/gender-vs,0.9.0,active,,ETGenderVS,Ethiopian Patient Gender values,"Patient Gender....",,"hl7.fhir.r4.core"
http://fhir.et/core/ValueSet/gonorrhoea-specimen-type-vs,0.9.0,active,,GonorrhoeaSpecimenTypeVS,Gonorrhoea Specimen Type,"",,"Internal"
http://fhir.et/core/ValueSet/gonorrhoea-test-result-vs,0.9.0,active,,GonorrhoeaTestResultVS,Gonorrhoea Test Result,"",,"Internal"
http://fhir.et/core/ValueSet/hiv-adherence-vs,0.9.0,active,,AdherenceVS,ART Adherence Value Set,"Value set for documenting ART adherence",,"Internal"
