URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://fhir.et/core/ValueSet/key-population-type-vs,0.9.0,active,,KeyPopulationTypeVS,Key Population Type ValueSet,"","StructureDefinition/key-population-type","Internal"
http://fhir.et/core/ValueSet/marital-status-vs,0.9.0,active,,ETMaritalStatusVS,Ethiopian Patient Marital Status values,"Patient Marital Status....","StructureDefinition/HIVPatient,StructureDefinition/ETPatient","THO (V3)"
http://fhir.et/core/ValueSet/mycoplasma-genitalium-test-type-vs,0.9.0,active,,MycoplasmaGenitaliumTestTypeVS,Mycoplasma genitalium Test Type Value Set,"Allowed values for Mycoplasma genitalium test types","StructureDefinition/mycoplasma-genitalium-test-type-observation","Internal"
http://fhir.et/core/ValueSet/neisseria-gonorrhoeae-test-type-vs,0.9.0,active,,NeisseriaGonorrhoeaeTestTypeVS,Neisseria gonorrhoeae Test Type Value Set,"Allowed values for Neisseria gonorrhoeae test types","StructureDefinition/neisseria-gonorrhoeae-test-type-observation","Internal"
http://fhir.et/core/ValueSet/occupation-vs,0.9.0,active,,OccupationVS,Ethiopia Occupation ValueSet,"ValueSet containing all occupation codes used in Ethiopia","StructureDefinition/HIVPatient,StructureDefinition/ETPatient","Internal"
http://fhir.et/core/ValueSet/other-clinical-services-vs,0.9.0,active,,OtherClinicalServicesVS,Other Clinical Services Offered ValueSet,"","StructureDefinition/other-clinical-services","Internal"
http://fhir.et/core/ValueSet/other-support-services-vs,0.9.0,active,,OtherSupportServicesVS,Other Support Services ValueSet,"","StructureDefinition/other-support-services","Internal"
http://fhir.et/core/ValueSet/partner-contact-type-vs,0.9.0,active,,PartnerContactTypeVS,Partner Contact Type ValueSet,"","StructureDefinition/hiv-partner-contact","Internal"
http://fhir.et/core/ValueSet/partner-risk-category-vs,0.9.0,active,,PartnerRiskCategoryVS,Partner High Risk Category ValueSet,"","StructureDefinition/partner-risk-category","Internal"
http://fhir.et/core/ValueSet/partner-services-referral-vs,0.9.0,active,,PartnerServicesReferralVS,Partner Services Referral ValueSet,"","StructureDefinition/partner-services-referral","Internal"
http://fhir.et/core/ValueSet/preferred-contact-method-vs,0.9.0,active,,PreferredContactMethodVS,Preferred Contact Method Value Set,"","StructureDefinition/preferred-contact-method","Internal"
http://fhir.et/core/ValueSet/prep-dosing-type-vs,0.9.0,active,,PrEPDosingTypeVS,PrEP Dosing Type ValueSet,"","StructureDefinition/prep-dosing-type","Internal"
http://fhir.et/core/ValueSet/prep-visit-interval-vs,0.9.0,active,,PrepVisitIntervalVS,PrEP Visit Interval ValueSet,"","StructureDefinition/prep-visit-observation","Internal"
http://fhir.et/core/ValueSet/prep-visit-reason-vs,0.9.0,active,,PrepVisitReasonVS,PrEP Visit Reason ValueSet,"","StructureDefinition/prep-encounter,StructureDefinition/prep-visit-reason","Internal"
http://fhir.et/core/ValueSet/srh-integrated-services-vs,0.9.0,active,,SRHIntegratedServicesVS,Sexual and Reproductive Health Integrated Services ValueSet,"","StructureDefinition/srh-integrated-services","Internal"
http://fhir.et/core/ValueSet/sti-result-vs,0.9.0,active,,STIResultVS,STI Test Result ValueSet,"Value set for STI test results","StructureDefinition/sti-result-observation,StructureDefinition/confirmatory-sti-test-result-observation","Internal"
http://fhir.et/core/ValueSet/sti-syndrome-vs,0.9.0,active,,STISyndromeVS,Syndrome/STI Diagnosed ValueSet,"","StructureDefinition/sti-syndrome-observation","Internal"
http://fhir.et/core/ValueSet/sti-test-type-vs,0.9.0,active,,STITestTypeVS,STI Tested For,"","StructureDefinition/sti-testing-observation","Internal"
