URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhir.et/core/CodeSystem/partner-contact-type-cs,0.9.0,active,,PartnerContactTypeCS,Partner Contact Type Codes,"Types of contacts or partners for partner services","ValueSet/partner-contact-type-vs"
http://fhir.et/core/CodeSystem/partner-risk-category-cs,0.9.0,active,,PartnerRiskCategoryCS,Partner High Risk Category Codes,"","ValueSet/partner-risk-category-vs"
http://fhir.et/core/CodeSystem/partner-services-referral-cs,0.9.0,active,,PartnerServicesReferralCS,Partner Services Referral Codes,"Codes for referral through partner services","ValueSet/partner-services-referral-vs"
http://fhir.et/core/CodeSystem/prefered-contact-cs,0.9.0,active,,ContactPointSystemCS,Prefered contact CodeSystem,"CodeSystem representing the Prefered Contact","ValueSet/preferred-contact-method-vs"
http://fhir.et/core/CodeSystem/prep-dosing-type-cs,0.9.0,active,,PrEPDosingTypeCS,PrEP Dosing Type CodeSystem,"","ValueSet/prep-dosing-type-vs"
http://fhir.et/core/CodeSystem/prep-visit-interval-cs,0.9.0,active,,PrepVisitIntervalCS,PrEP Visit Interval CodeSystem,"Represents scheduled PrEP visit intervals.","ValueSet/prep-visit-interval-vs"
http://fhir.et/core/CodeSystem/prep-visit-reason-cs,0.9.0,active,,PrepVisitReasonCS,PrEP Visit Reason CodeSystem,"Codes representing reasons for PrEP/PEP visits.","ValueSet/prep-visit-reason-vs"
http://fhir.et/core/CodeSystem/srh-integrated-services-cs,0.9.0,active,,SRHIntegratedServicesCS,Sexual and Reproductive Health Integrated Services CodeSystem,"Types of SRH integrated services provided","ValueSet/srh-integrated-services-vs"
http://fhir.et/core/CodeSystem/sti-result-cs,0.9.0,active,,STIResultCS,STI Test Result CodeSystem,"Codes for STI test results","ValueSet/sti-result-vs"
http://fhir.et/core/CodeSystem/sti-syndrome-cs,0.9.0,active,,STISyndromeCS,Syndrome/STI Codes,"","ValueSet/sti-syndrome-vs"
http://fhir.et/core/CodeSystem/sti-test-type-cs,0.9.0,active,,STITestTypeCS,STI Test Types,"","ValueSet/sti-test-type-vs"
http://fhir.et/core/CodeSystem/syphilis-confirmatory-test-type-cs,0.9.0,active,,SyphilisConfirmatoryTestTypeCS,Confirmatory Syphilis Test Type CodeSystem,"Codes for confirmatory syphilis test types","ValueSet/syphilis-confirmatory-test-type-vs"
http://fhir.et/core/CodeSystem/syphilis-test-result-cs,0.9.0,active,,SyphilisTestResultCS,Syphilis Test Result Codes,"","ValueSet/syphilis-test-result-vs"
http://fhir.et/core/CodeSystem/syphilis-test-type-cs,0.9.0,active,,SyphilisTestTypeCS,Syphilis Test Type Code System,"Codes for syphilis test types","ValueSet/syphilis-test-type-vs"
http://fhir.et/core/CodeSystem/trichomonas-vaginalis-test-type-cs,0.9.0,active,,TrichomonasVaginalisTestTypeCS,Trichomonas vaginalis Test Type Code System,"Codes for Trichomonas vaginalis test types","ValueSet/trichomonas-vaginalis-test-type-vs"
http://fhir.et/core/CodeSystem/vmmc-adverse-event-severity-cs,0.9.0,active,,VMMCAdverseEventSeverityCS,VMMC Adverse Event Severity Codes,"","ValueSet/vmmc-adverse-event-severity-vs"
http://fhir.et/core/CodeSystem/vmmc-adverse-event-timing-cs,0.9.0,active,,VMMCAdverseEventTimingCS,Timing of Adverse Event,"","ValueSet/vmmc-adverse-event-timing-vs"
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/gender-vs"
http://terminology.hl7.org/CodeSystem/v2-0131,2.0.0,active,"2.16.840.1.113883.18.58",ContactRole2,contactRole2,"Code system of concepts which specify a relationship role that the next of kin/associated parties plays with regard to the patient. Also used in referrals, for example, it may be necessary to identify the contact representative at the clinic that sent a referral. Used in HL7 Version 2 messaging in the NK1 and CTD segments after 2.5, when it replace 2.16.840.1.113883.18.57.","ValueSet/v2-0131"
http://terminology.hl7.org/CodeSystem/v3-MaritalStatus,3.0.0,active,"2.16.840.1.113883.5.2",MaritalStatus,MaritalStatus,"\* \* \* No description supplied \* \* \*    *Open Issue:* The specific meanings of these codes can vary somewhat by jurisdiction and implementation so caution should be used when determining equivalency.    *Open Issue:* fixing and completion of the hierarchy and proper good definitions of all the concepts is badly needed.","ValueSet/marital-status-vs"
